Aprob_Semestre1;Aprob_Semestre2;Aprob_Semestre3;Total_Aprob;Genero;Edad;Provincia;Estado_civil;emplea_ingresos;niv_form_padre;niv_form_madre;ing_hogar;num_miembros_hogar;ing_eve;Tipo_vivienda;tipo_const_vivienda;Internet;cert_practicas;Cert_ingles_A2;Trabaja;Tiempo_trab;Colegio_especializacion;Nivel_Ingles;Sist_ingreso;Tipo_Colegio;Tipo_matricula;Condicion;Porc_Beca;motivo_Beca_1;motivo_Beca_2;Continua
6;6;6;18;Femenino;27;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;400;4;0;Propia;Casa;Si;Si;Si;Si;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Particular;Ordinario;Regular;40;Excelencia Academica;Otros;1
6;6;0;12;Femenino;33;Guayas;Casado;No aplica;Educacion Basica;Secundaria;1000;4;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscomisional;Ordinario;Regular;0;No aplica;Otros;0
6;6;6;18;Masculino;21;Guayas;Soltero;No aplica;Secundaria;Primaria;400;3;0;Arrendada;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Femenino;25;Guayas;Soltero;Financiar sus estudios;Educacion Media;Educacion Basica;1600;4;0;Propia;Casa;Si;No;No;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Ex cadete Anai;1
6;6;6;18;Femenino;22;Guayas;Soltero;Para mantener a su hogar;Educacion Basica;Educacion Basica;795;4;0;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Cantones aledanos;1
6;6;6;18;Masculino;23;Guayas;Soltero;No aplica;Superior Universitaria;Superior Universitaria;784;5;0;Propia;Casa;No;Si;Si;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Femenino;22;Guayas;Soltero;No aplica;Educacion Basica;Educacion Basica;492;5;100;Cedida;Casa;No;Si;Si;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Intermedio;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;1
6;6;6;18;Masculino;25;Guayas;Soltero;No aplica;Educacion Media;Superior Universitaria;300;2;500;Arrendada;Casa;Si;No;No;No;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Particular;Ordinario;Regular;0;No aplica;Otros;1
6;6;0;12;Masculino;22;Guayas;Soltero;Financiar sus estudios;Superior Universitaria;Educacion Basica;560;5;160;Propia;Casa;Si;No;No;No;0;BACHILLER EN CONTABILIDAD Y ADMINISTRACION;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;25;Otra;Convenio interisntitucional;0
6;6;6;18;Femenino;42;Guayas;Soltero;Para mantener a su hogar;Superior Universitaria;Superior Universitaria;675;3;0;Propia;Villa;Si;Si;Si;Si;0;BACHILLER EN CIENCIAS;Basico;Curso de Nivelacion;Fiscal;Ordinario;Regular;0;No aplica;Otros;1
